device_id,location,time_collected,depth_level,depth_m,temperature,salinity,turbidity,ph_level,dissolved_oxygen,ammonia,nitrite,nitrate
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:02:55,1,5,17.82,34.02,3.35,8.15,7.71,0.008,0.0052,0.596
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:00,1,5,17.59,34.03,4.49,8.19,7.71,0.0111,0.0021,0.63
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:05,1,5,18.02,34.05,4.93,8.17,7.51,0.0062,0.0069,0.643
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:10,1,5,17.9,34.01,3.93,8.13,7.73,0.0058,0.0065,0.636
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:15,1,5,17.57,34.01,3.01,8.12,7.59,0.01,0.0022,0.686
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:20,1,5,17.99,34.02,3.88,8.11,7.61,0.0074,0.0063,0.539
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:25,1,5,18.15,34.03,4.25,8.19,7.73,0.0107,0.0025,0.321
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:30,1,5,17.85,34.05,3.6,8.17,7.56,0.01,0.0035,0.603
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:35,1,5,17.7,34.02,4.78,8.15,7.64,0.0069,0.0027,0.52
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:40,1,5,18.28,33.97,3.26,8.15,7.48,0.0113,0.0078,0.433
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:45,1,5,18.15,34.01,4.68,8.16,7.53,0.0077,0.0026,0.369
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:50,1,5,18.38,33.98,3.24,8.17,7.74,0.0078,0.0032,0.578
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:03:55,1,5,18.32,33.97,4.26,8.16,7.7,0.0115,0.0073,0.5
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:00,1,5,18.4,33.98,3.08,8.12,7.68,0.0109,0.0066,0.418
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:05,1,5,18.04,34.03,4.92,8.15,7.55,0.0099,0.0056,0.672
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:10,1,5,17.72,34.03,3.19,8.17,7.72,0.0104,0.0071,0.593
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:15,1,5,18.44,33.46,3.99,8.12,7.64,0.0114,0.0069,0.58
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:20,1,5,17.77,33.97,4.24,8.19,7.7,0.0064,0.0071,0.405
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:25,1,5,17.83,33.96,4.05,8.12,7.59,0.0057,0.0058,0.518
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:30,1,5,17.77,34.02,3.76,8.15,7.54,0.0057,0.0025,0.424
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:35,1,5,18.36,33.99,4.71,8.18,7.63,0.0075,0.0064,0.584
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:40,1,5,17.78,34.01,3.63,8.16,7.55,0.0085,0.0065,0.438
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:45,1,5,17.55,34.03,3.22,8.11,7.73,0.0076,0.0057,0.548
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:50,1,5,17.66,34,3.32,8.16,7.59,0.0063,0.0069,0.389
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:04:55,1,5,17.79,34.03,3.3,8.15,7.57,0.0101,0.0055,0.636
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:00,1,5,18.38,34.01,4.71,8.15,7.67,0.0102,0.0022,0.504
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:05,1,5,17.71,33.65,4.24,8.18,7.65,0.0075,0.0036,0.459
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:10,1,5,17.65,33.97,3.79,8.19,7.67,0.0115,0.003,0.385
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:15,1,5,17.96,34.04,4.99,8.15,7.77,0.0102,0.0026,0.501
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:20,1,5,18.38,34.01,3.07,8.15,7.6,0.0102,0.0036,0.317
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:25,1,5,18.24,33.98,3.67,8.14,7.61,0.0065,0.0026,0.573
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:30,1,5,18.28,33.96,3.75,8.19,7.6,0.0079,0.0039,0.574
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:35,1,5,18.27,33.96,4.32,8.16,7.7,0.0087,0.0043,0.621
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:40,1,5,17.93,33.97,4.09,8.19,7.53,0.0072,0.0023,0.455
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:45,1,5,18.1,34.02,3.35,8.1,7.48,0.0101,0.0032,0.648
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:50,1,5,18.33,33.99,4.24,8.14,7.49,0.0104,0.0073,0.44
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:05:55,1,5,17.9,34.03,3.69,8.18,7.66,0.0096,0.0038,0.496
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:00,1,5,17.67,34.01,3.01,8.11,7.75,0.008,0.006,0.526
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:05,1,5,17.96,33.99,4.34,8.14,7.6,0.0085,0.0061,0.418
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:10,1,5,18.27,34.04,4.02,8.19,7.53,0.0113,0.0022,0.638
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:15,1,5,18.08,33.99,4.15,8.16,7.69,0.0059,0.0069,0.64
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:20,1,5,17.86,34.04,3.66,8.17,7.75,0.0096,0.0065,0.676
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:25,1,5,17.75,33.98,3.63,8.12,7.61,0.0073,0.0035,0.477
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:30,1,5,17.78,34,3.97,8.19,7.76,0.0084,0.0068,0.534
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:35,1,5,17.9,34.02,3.75,8.16,7.73,0.0112,0.0051,0.581
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:40,1,5,18.36,33.97,3.34,8.11,7.69,0.0097,0.0054,0.686
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:45,1,5,17.92,34,3.24,8.19,7.65,0.0079,0.0047,0.388
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:50,1,5,18.33,33.96,3.82,8.12,7.48,0.0064,0.007,0.622
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:06:55,1,5,17.97,34.05,4.04,8.18,7.61,0.0103,0.0054,0.561
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:00,1,5,17.73,33.99,4.24,8.19,7.5,0.0072,0.0043,0.522
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:05,1,5,18.41,34.01,4.13,8.14,7.72,0.0094,0.0067,0.405
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:10,1,5,18.22,34.03,3.9,8.12,7.54,0.0115,0.0025,0.612
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:15,1,5,18.47,34.03,3.13,8.12,7.49,0.0102,0.0038,0.433
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:20,1,5,17.75,33.95,3.6,8.17,7.56,0.0067,0.0041,0.353
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:25,1,5,18.36,34.02,3.58,8.15,7.74,0.0098,0.0037,0.472
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:30,1,5,18.02,33.99,3.23,8.1,7.49,0.0108,0.0068,0.374
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:35,1,5,17.89,33.97,8.87,8.13,7.67,0.0087,0.0028,0.428
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:40,1,5,18.01,34,3.96,8.13,7.64,0.0107,0.005,0.598
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:45,1,5,18.01,34,4.25,8.19,7.71,0.0083,0.0023,0.439
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:50,1,5,17.98,33.98,3.18,8.13,7.54,0.0106,0.0058,0.509
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:07:55,1,5,18.01,33.99,9.4,8.13,7.75,0.0069,0.0052,0.568
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:00,1,5,17.72,33.96,10.36,8.1,7.57,0.0054,0.0025,0.683
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:05,1,5,18.2,33.58,3.89,8.16,7.62,0.0116,0.0039,0.379
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:10,1,5,18.47,33.99,4.82,8.16,7.66,0.0071,0.0035,0.512
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:15,1,5,18.43,33.98,3.49,8.17,7.48,0.0085,0.0038,0.327
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:20,1,5,17.67,34.04,4.25,8.18,7.69,0.0113,0.0046,0.418
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:25,1,5,17.71,34.02,4.34,8.1,7.5,0.0094,0.0076,0.539
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:30,1,5,18.45,34.01,4.48,8.18,7.66,0.0072,0.0026,0.572
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:35,1,5,17.75,34.04,3.42,8.15,7.61,0.0094,0.0036,0.652
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:40,1,5,17.92,34.01,9.46,8.13,7.63,0.0062,0.0063,0.529
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:45,1,5,18.37,33.97,3.5,8.15,7.62,0.0062,0.006,0.408
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:50,1,5,17.83,33.99,4.29,8.1,7.72,0.0106,0.0027,0.473
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:08:55,1,5,17.72,34,4.41,8.14,7.49,0.0072,0.0069,0.322
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:00,1,5,17.89,34.02,3.45,8.11,7.47,0.0086,0.0039,0.469
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:05,1,5,17.87,33.99,3.13,8.12,7.71,0.0068,0.0026,0.521
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:10,1,5,17.53,34.03,3.99,8.11,7.69,0.0089,0.0061,0.701
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:15,1,5,18.23,33.98,3.73,8.16,7.63,0.0099,0.0046,0.67
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:20,1,5,17.83,34.03,4.01,8.1,7.64,0.0085,0.0048,0.664
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:25,1,5,18.27,33.99,4.56,8.11,7.54,0.0061,0.0039,0.6
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:30,1,5,18.27,34,4.58,8.09,7.71,0.0059,0.0052,0.402
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:35,1,5,17.86,34.03,4.76,8.15,7.68,0.0094,0.0072,0.401
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:40,1,5,17.64,33.98,3.34,8.1,7.54,0.0067,0.0021,0.645
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:45,1,5,18.28,33.97,4.54,8.17,7.49,0.011,0.0031,0.395
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:50,1,5,17.95,33.96,4.37,8.12,7.76,0.0073,0.0064,0.63
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:09:55,1,5,17.83,34.04,4.35,8.12,7.53,0.0093,0.0026,0.386
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:00,1,5,18.44,33.99,4.13,8.11,7.65,0.0105,0.0031,0.506
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:05,1,5,18.34,34.05,3.38,8.12,7.61,0.0073,0.007,0.385
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:10,1,5,18.03,34.04,3.18,8.14,7.53,0.0091,0.0044,0.579
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:15,1,5,17.67,33.98,4.14,8.11,7.67,0.0091,0.0045,0.663
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:20,1,5,18.1,33.99,4.79,8.19,7.72,0.0095,0.007,0.676
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:25,1,5,17.54,34,3.31,8.1,7.7,0.0072,0.0031,0.673
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:30,1,5,18.4,34.05,4.63,8.14,7.51,0.0116,0.0027,0.586
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:35,1,5,17.51,34.02,3.36,8.18,7.52,0.0083,0.0027,0.589
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:40,1,5,17.73,34.02,4.89,8.13,7.62,0.006,0.0055,0.436
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:45,1,5,17.79,34.03,3.92,8.18,7.51,0.0077,0.0049,0.646
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:50,1,5,17.49,34.05,4.09,8.18,7.59,0.0094,0.008,0.451
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:10:55,1,5,17.59,34.01,3.02,8.14,7.55,0.0079,0.0067,0.47
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:00,1,5,17.51,33.98,3.17,8.14,7.63,0.0089,0.0028,0.561
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:05,1,5,17.95,33.99,3.18,8.1,7.71,0.0107,0.0068,0.575
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:10,1,5,18.14,34.02,4.28,8.13,7.5,0.0089,0.0041,0.442
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:15,1,5,17.74,34.02,4.92,8.11,7.49,0.0113,0.004,0.529
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:20,1,5,17.96,34,3.81,8.16,7.72,0.0116,0.0028,0.696
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:25,1,5,18.37,33.98,4.79,8.11,7.62,0.0105,0.0049,0.695
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:30,1,5,17.65,33.98,3.16,8.17,7.55,0.0095,0.0073,0.435
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:35,1,5,17.81,34.03,4.48,8.17,7.5,0.0067,0.0024,0.542
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:40,1,5,18.36,33.99,4.46,8.17,7.65,0.0107,0.0054,0.508
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:45,1,5,17.52,34,3.21,8.16,7.68,0.0065,0.0061,0.449
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:50,1,5,17.48,33.98,3.8,8.14,7.51,0.0096,0.0041,0.547
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:11:55,1,5,18.07,33.96,3.48,8.09,7.55,0.0113,0.0031,0.592
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:00,1,5,17.59,33.97,4.38,8.19,7.76,0.0067,0.0031,0.482
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:05,1,5,18.34,34,3.65,8.13,7.55,0.0061,0.0034,0.39
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:10,1,5,18.07,33.99,3.73,8.16,7.69,0.0073,0.0056,0.704
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:15,1,5,18.17,34.04,3.73,8.11,7.57,0.0101,0.0039,0.413
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:20,1,5,17.86,34.03,3.94,8.18,7.71,0.0106,0.0057,0.653
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:25,1,5,17.79,33.97,3.59,8.13,7.73,0.0077,0.0043,0.72
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:30,1,5,17.69,34.01,4.27,8.12,7.63,0.0058,0.0054,0.641
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:35,1,5,18.08,34,4.1,8.19,7.46,0.0073,0.0065,0.585
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:40,1,5,17.82,34,4.03,8.15,7.57,0.0058,0.004,0.631
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:45,1,5,18.17,33.98,3.94,8.12,7.45,0.0066,0.0048,0.673
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:50,1,5,18.04,34.04,4.25,8.14,7.53,0.0088,0.0049,0.358
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:12:55,1,5,17.81,33.97,4.11,8.18,7.67,0.0075,0.0035,0.457
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:00,1,5,18.29,34.05,4.83,8.14,7.55,0.0069,0.0073,0.417
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:05,1,5,18.05,33.98,4.53,8.11,7.69,0.0089,0.0062,0.61
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:10,1,5,17.63,33.53,4.62,8.17,7.47,0.0094,0.0066,0.656
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:15,1,5,18.03,34.04,3.94,8.11,7.69,0.0102,0.007,0.39
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:20,1,5,17.64,33.98,3.93,8.12,7.47,0.0057,0.0075,0.411
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:25,1,5,17.47,34.03,7.33,8.13,7.5,0.0113,0.008,0.473
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:30,1,5,17.83,33.96,3.51,8.16,7.5,0.0094,0.0031,0.574
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:35,1,5,17.54,34.04,3.17,8.13,7.56,0.0091,0.005,0.639
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:40,1,5,17.72,33.78,4.76,8.17,7.61,0.0075,0.0041,0.6
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:45,1,5,18.38,34.03,4.42,8.18,7.44,0.0103,0.0025,0.463
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:50,1,5,18.26,34.01,4.5,8.16,7.43,0.0063,0.0023,0.432
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:13:55,1,5,18,34.05,3.79,8.18,7.56,0.0106,0.0026,0.528
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:14:00,1,5,17.88,34.01,4.04,8.19,7.48,0.0082,0.0048,0.455
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:14:05,1,5,18.08,34.01,4.91,8.19,7.69,0.0106,0.0036,0.386
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:14:10,1,5,18.46,34.04,3.88,8.19,7.55,0.0066,0.0054,0.537
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:14:15,1,5,17.84,34.03,3.98,8.1,7.68,0.0106,0.008,0.667
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:14:20,1,5,17.74,34.03,4.05,8.14,7.59,0.008,0.0056,0.34
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:14:25,1,5,18.26,34.03,4.81,8.16,7.71,0.0104,0.0049,0.504
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:14:30,1,5,17.94,34.02,4.3,8.15,7.57,0.006,0.0035,0.544
AUV_CT_SB_1,"Cape Town, Saldanha Bay",2025-09-27 10:14:35,1,5,18.18,33.98,3.29,8.18,7.62,0.007,0.0024,0.67
